date	mi_mu	mi_sigma	r_mu	r_sigma	m
1945-11	0.04457093784975837	0.3314379981997572	0.03570974527304372	0.0518869258752899	0.05176393166406965
1945-12	-0.29590170455828263	1.5823820818197152	0.2410618544143336	0.24914769597066094	0.16663636148607083
1946-01	-0.5091887151652275	1.6410838795668163	0.2646902700225151	0.2876715321539413	0.16914870790071526
1946-02	-0.25238888183428243	1.2855727196657283	0.19205521146015134	0.2452591611426406	0.21901100318145827
1946-03	0.001107935988930746	0.49229058447115787	0.03706844260486228	0.06471377908313274	0.04127236516397923
1946-04	0.004637229225451086	0.7775700296417304	0.09510452839168863	0.16275142312310834	0.16074708903870796
1946-05	-0.050291322313024876	0.8716360119969446	0.0656517688286139	0.08485592565270728	0.036495892889868264
1946-09	-0.101997001225459	1.6392585991469357	0.4601682918461385	0.17708008802998595	0.3158730205042973
1946-10	-0.012631091422638912	1.6956454439111333	0.5385936136180379	0.24461030327984565	0.3226533028355316
1946-11	-0.9388325370340588	2.144085583154294	0.23941081226058342	0.18223924147475587	0.092273488929486
1946-12	-0.76460291571119	2.1311997946761143	0.2671248369405246	0.21370321859066352	0.14700587868586334
1947-02	-0.47422577222966483	1.6330729723520132	0.21220968713550728	0.21517882054105894	0.1607409956544529
1947-03	-0.47231174758433825	1.6101953574809265	0.239780410449087	0.2719728637404947	0.16811755281812096
1947-04	-0.36234195408105296	1.5706922342193101	0.24302052372245048	0.2615783165374264	0.23097556231923097
1947-05	-0.10423640228918112	0.9316049593422233	0.05178312289184472	0.05277284189241312	0.025740819824760203
1947-06	-0.6770642473662983	2.002401285359938	0.24006420160749747	0.22267420040286703	0.11087524442464958
1947-07	-0.9341414994347357	2.3474621452799345	0.4719431426038723	0.3976800368638328	0.3059914887549345
1947-08	6.307546786011571e-17	1.8267408396758556e-16	2.918568703840349e-17	8.378753448182584e-17	-1.0344918727332836e-17
1947-09	0.2103039242141538	2.0737244447600625	0.6805291716055842	0.35614412211285784	0.3186279293032735
1947-10	3.269417089793505e-16	1.388882642915875e-16	3.344217079691647e-16	4.1489483066416216e-17	3.432890065382116e-16
1947-11	-1.0217920359367538	2.237393877430394	0.33545937051743413	0.27714959610604206	0.17057364784927798
1947-12	-0.665108766842833	1.864708111605636	0.34473118184913054	0.31210981321003933	0.2262062669279955
1948-01	-0.6797075423635633	1.7764896364369789	0.30723930192019205	0.26974769733466114	0.26827847170024643
1948-02	-0.41861826161108784	1.5206497945932145	0.2494467359192956	0.26454652420483654	0.27084648287698687
1948-03	-0.40674170984116437	1.7347120617992706	0.3270500747163742	0.2709194116518079	0.29262499681381077
1948-04	-0.2852654772706516	1.4254392841467356	0.22504615771296577	0.2258934013233586	0.19184469118576886
1948-05	-0.055172735236083896	2.055735261614495	0.40969844038687936	0.191922133272669	0.19361960949989981
1948-06	-0.6810751285874007	1.9300684173879707	0.34384165916392495	0.3168845065945687	0.23862162327280306
1948-07	-3.1978205074332417e-16	1.5167199076891324e-16	-3.1583292523616672e-16	6.407670407713977e-17	-3.0800992330038943e-16
1948-09	-0.6771466768887491	2.045556284898479	0.6915052167645862	0.31761017872298053	0.5566375652417753
1948-10	-0.10978666462144664	1.178427457381678	0.20288543331405134	0.11665077361015644	0.18384157774952128
1948-11	-0.8019149539161669	2.1572399510795486	0.31690038581930235	0.25845698552978214	0.17184587481899094
1948-12	-1.0192188634358688	2.2472655453648693	0.45652509430422744	0.37693485368408175	0.3392464281409504
1949-01	-0.6152997057512158	1.7720435526387517	0.22349837615438642	0.2217029994877361	0.11827082998365909
1949-02	-0.6370276400258865	1.8280152353605856	0.23354153958759782	0.24067846224369957	0.16696702536934194
1949-03	-0.1641873889548641	1.1183444402328035	0.1100296328433055	0.13324278312680876	0.1310403052581479
1949-04	-0.11926510004916488	0.8596744010211429	0.050699483253726335	0.06571071168726257	0.03752157460349091
1949-05	-0.2626257497158247	1.4506491878546506	0.2872507069347033	0.34499411085998927	0.23197591139031676
1949-06	-0.25936225447731404	1.5984019250133021	0.3920460523479184	0.2992874022036663	0.3558799912230761
1949-07	-0.5776804878001556	1.7580667665564738	0.3258298655225	0.3035055598610415	0.2509220427360882
1949-08	-0.015170461263727356	0.5383902981438043	0.01856244731094562	0.025752391540615264	0.007785505692290119
1949-09	-0.4458061042853452	2.0076689147560622	0.45163406735171413	0.3330265245168132	0.2676378532698393
1949-10	-0.5694491809171767	1.8025810201209815	0.2876143516527657	0.2976912978672957	0.2885148571872862
1949-11	-0.9333508262544133	2.2337909277920005	0.5105432270839353	0.33420824100011376	0.2848553830381568
1949-12	-1.2241595385675803	2.546329220077699	0.47556905954932693	0.36457775621513266	0.31711230549124914
1950-01	-6.796549841818923e-16	1.4515668157096064e-16	-6.580456096336184e-16	7.765372049202223e-17	-6.413187572202369e-16
1950-02	-0.6011120313584343	1.8535972851697868	0.30351452001140977	0.3018566572790244	0.2671417529862219
1950-03	-0.8983146483815729	2.232449814524469	0.4947050275893994	0.41779969517536103	0.39557744692868607
1950-04	-0.14905114558532964	0.955938378509489	0.06224895142112477	0.08011263866800264	0.04077471744202283
1950-05	-0.7229169213554993	2.0796294582297303	0.40056004456519084	0.3688516435323403	0.3624890894124625
1950-06	-0.8234103330008049	2.1463576481951807	0.4008199785622725	0.3802510733498091	0.3309842453840323
1950-07	-0.8400429225483902	2.1787571503258243	0.375238615649622	0.3213865887954963	0.2685128829819452
1950-09	-0.6491949702653255	2.163502179461791	0.5478750849895483	0.2901694306988737	0.2695307983538035
1950-10	-0.3630891055887354	1.4594910335556173	0.1464809735616071	0.15288657622319202	0.09515492008847824
1950-11	-1.0398614297782034	2.298413389768971	0.41037249044234186	0.30795500525889363	0.26180296837090006
1950-12	-0.8280922420276016	2.2572601229068168	0.28111839032486935	0.23869256078499335	0.1534743713925979
1951-01	-0.5434258421900655	1.816502415724507	0.3673339939548564	0.32243200301586455	0.30249207272152595
1951-03	-0.5649172698404299	1.8722626070715547	0.2767032040033883	0.2205966313914575	0.18754560543537407
1951-04	-0.5181604126527701	1.7830686747651703	0.3254502723832486	0.33778289733458544	0.2850536785542189
1951-05	-1.1181745456397587	2.336916137604305	0.4612705208114552	0.35403240459493535	0.29142900284648376
1951-06	-0.9515558412586792	2.2737097613326362	0.42548199268612796	0.33385178852707664	0.30095918489447543
1951-07	-1.0805455717915013	2.413193391336801	0.4753342206064466	0.3893106292234393	0.29100120926384426
1951-09	0.23362367284494268	1.4936939159697995	0.5441760759416735	0.30439840726344813	0.31455814653998365
1951-10	-0.342434465540094	1.4425293198257891	0.18870729412275655	0.22824374332167544	0.22915583725333133
1951-11	-0.7908417450277884	2.011765432722197	0.3562974334951388	0.2850016078258931	0.22741429233645621
1951-12	-1.0446343415295993	2.3543009241442623	0.34069232282693285	0.25347631705849966	0.16634218690407185
1952-01	-0.26580602528700065	1.4602797852933729	0.1779097035111139	0.18729070824908495	0.21612643155991568
1952-02	-0.823009949535942	2.055472706002025	0.4337697925666951	0.3878620871893232	0.3593507155306289
1952-03	-0.67042896939181	1.82143722035036	0.3382821412969998	0.3044487649099354	0.2122553919128656
1952-04	-0.8187706902379372	2.21046113590785	0.2996419458554877	0.2502674317731334	0.1989286580170514
1952-05	-0.5511138928994052	1.8240897509188156	0.20386996107405767	0.20593153445498452	0.13553850055384611
1952-09	-0.27235589622164136	1.0673818662536543	0.1869209294241944	0.11233732077004348	0.1661735965427858
1952-10	-0.13946266882534492	1.2290882085489505	0.22571046893407343	0.16036211339098566	0.2601162031002682
1952-11	-1.0084323898475516	2.363423169751758	0.38037348776535324	0.30912326070389223	0.21847879224880878
1952-12	-0.7783395349542452	2.129383669262671	0.2718853675818956	0.24138905544160041	0.1504461464815608
1953-02	-0.7686035781919133	2.1124911049299246	0.3927487078522986	0.2754934443124267	0.2887938424548041
1953-03	-0.6011897045800441	1.793291336052025	0.29873881598474744	0.2784264424770175	0.23356217150801187
1953-04	-0.5989073034137693	1.7586654137155062	0.24729613526052102	0.23995277735059156	0.1821226920462485
1953-05	-6.350793043813076e-16	8.399073352066039e-17	-6.314565911025841e-16	2.4287735409508756e-17	-6.18420904851136e-16
1953-06	-0.6183005969689206	1.9938452448187531	0.24700063104941303	0.29821872676882094	0.1580955074164845
1953-07	-1.012770631004713	2.275192482118039	0.47986698573704595	0.3516988559063601	0.35197694231438414
1953-09	-0.38521396318515255	2.090319109261374	0.6840885485471792	0.43562538203869183	0.37638221211831246
1953-10	-0.584198666998799	1.6822888477313898	0.24290863869157003	0.2144212415343695	0.17653937099798886
1953-11	-0.8903328401545954	2.15480857101336	0.374635584268054	0.32826796847014555	0.24481375994881302
1953-12	-1.006851346194815	2.1991687889285614	0.36044088413456166	0.28251010070215044	0.20569837666358315
1954-02	-0.7820919227213291	2.290992284701697	0.3587641431824891	0.33063600339104043	0.34318062895023405
1954-03	-0.5890628561538003	1.8109591230902766	0.3405336828073148	0.33009732040301176	0.3069471074290378
1954-04	-1.041398118607586	2.3895455731909583	0.4020866524129614	0.34491724756665737	0.27385870953255526
1954-05	-0.010418691801749123	1.308809082955837	0.2795289344666857	0.11637615537493982	0.23786560351480593
1954-06	-1.115306710904599	2.3265773256786653	0.537953403322767	0.3581013994589376	0.3951000861245391
1954-07	-0.7795476665440295	2.1033030671085045	0.33080949378417623	0.31257854662056206	0.24194942024183025
1954-09	-0.7210270036828477	2.2120149255907853	0.7101419445246419	0.44301808094824263	0.4276623476620899
1954-10	-0.6828150323769888	1.8569461602465636	0.277111317676459	0.24973089618353297	0.2221490155436851
1954-11	-1.064534623325358	2.436555375511625	0.35610276217239667	0.26899863236385013	0.21577557962080304
1954-12	-1.014219824269751	2.2681457207938376	0.36742523112415304	0.3088717570137274	0.18737775702532286
1955-02	-0.9894742515498823	2.1181369217712183	0.4983030561753252	0.38508002264946567	0.37006231219835745
1955-03	-0.8779176893433436	2.208062576825556	0.4130282454569742	0.35463835701536695	0.30419009583052925
1955-04	-0.3895947669919525	1.5228796894056515	0.19994458850157046	0.23056162480088727	0.18711005541991887
1955-05	-0.22718634706872495	1.0300763206758867	0.08397750522468549	0.10985851863331624	0.044195034507264454
1955-06	-1.0549490441513254	2.4129121948010135	0.5152409732605212	0.4500537095548085	0.32072180144319434
1955-07	-0.8738428728380215	2.185297673059994	0.423270993624688	0.3717804269903813	0.3438060319759339
1955-09	-0.03374973493767132	1.8773942348434276	0.5727988648128366	0.41841255296669816	0.18366069561310436
1955-10	-0.8009305470872993	2.2026093227934167	0.45349162979103225	0.29991359670786005	0.33227018017582893
1955-11	-1.3125832827304695	2.577767757713306	0.470728747727698	0.30644294753802154	0.26686886784426966
