date	mi_mu	mi_sigma	r_mu	r_sigma	m
1945-11	-0.04325160642132991	0.6778419652912903	0.3228965194721599	0.51702734051995	0.6574328317378788
1945-12	-0.4117497968517612	0.9791341072889053	0.7024747864134332	0.3013703917141683	0.591742371214652
1946-01	-0.3459769259638189	0.8737326959527986	0.7417661931575116	0.5776062616207902	0.5606348070068768
1946-02	-0.48570316714869105	1.0579796235428038	0.7994876601498743	0.5050178850741907	0.6572989584229233
1946-03	-0.44472290169870093	1.0685379390111367	0.835139461571441	0.6779138219521431	0.881581374968831
1946-04	-0.40854296528389195	1.0637906158385002	0.759570370004171	0.6371875401694662	0.6828790393498642
1946-05	-0.37276772266888564	0.9905289797553779	0.6935999146870823	0.5877037882514345	0.5086762703536748
1946-09	-0.45441670646489585	1.133711487648128	0.7965886766484236	0.5808399454582961	0.7714922954920156
1946-10	-0.3579114050970409	1.0031034496862938	0.7147656721639477	0.5228066892116305	0.6936998642853848
1946-11	-0.4466730074638602	0.9129248762001345	0.8263781108336419	0.49801481348368715	0.6628879772538079
1946-12	-0.38424858617931723	0.8628465444995124	0.7872184870280541	0.48965082880730015	0.6149692754251593
1947-02	-0.45764275734261667	1.0579716302167803	0.8079164244445443	0.5127525535659443	0.7088480259896454
1947-03	-0.37481594584608635	0.9434358128066503	0.7459242407717755	0.5344343347145609	0.6277823748935548
1947-04	-0.4360868198102286	1.0511758650669882	0.7689208170868611	0.5199831337861266	0.6790021212686941
1947-05	-0.46760930423752023	1.11791999580118	0.884219406942657	0.6058748212495375	0.738408998912191
1947-06	-0.3944030109436776	0.9893115652860116	0.751682323405014	0.46132960649353083	0.6847777304444709
1947-07	-0.4086746253411262	0.9603481035395639	0.8278025181281375	0.4685727824559471	0.7677441625468883
1947-08	-0.6317874565230168	1.3036113051029405	1.0480798641141609	0.7280441525140364	1.2307831865478496
1947-09	-0.4302658340986372	1.065905119934965	0.8031504335034839	0.4855983310857685	0.7841136676393907
1947-10	-0.31233250083828	1.0668234016854072	0.5512499848438117	0.5131411849214759	0.6575466579701107
1947-11	-0.49271981446528934	1.0240825139944265	0.8486934045212222	0.5134838663671886	0.7808147363163853
1947-12	-0.41439009269611926	0.9344977810526954	0.7872853570333294	0.5442739722019172	0.7066360660272484
1948-01	-0.4205797198167127	1.0260374633436624	0.7801254900998038	0.5667109227800373	0.7174038777394853
1948-02	-0.5097865768641502	1.125769602640643	0.8334215853467859	0.4538111597037353	0.7997521791381734
1948-03	-0.5516733829365147	1.1752694687640486	0.8555650271936502	0.5219853878779157	0.7968915397979427
1948-04	-0.4073684301235947	1.0692550208686964	0.7642355061315564	0.5329028944538998	0.7729114576157334
1948-05	-0.4162077202992091	1.0957235200383586	0.739985357044582	0.4561403202770709	0.7497263729006487
1948-06	-0.4691959959729049	1.1256983003493102	0.8492935605595369	0.5293279566102699	0.8016077266461139
1948-07	-0.7429910588233885	1.3899995980348636	1.042102489090971	0.5949232961232894	0.9957937568133949
1948-09	-0.5833170358980954	1.2373657916282539	0.9361331898599533	0.5485488938295628	0.9184270429252177
1948-10	-0.4239986373842508	1.167596562917341	0.8043723999303255	0.6795665231842026	0.744510799939535
1948-11	-0.43942167596979653	0.9669073545542713	0.8097742590799583	0.4928383205945674	0.6931244599356997
1948-12	-0.4383255860405947	0.9913285785624838	0.791267911221141	0.534284140155981	0.7404327280808716
1949-01	-0.43516258571904326	1.0101190669597921	0.7360237358283999	0.37838912002587405	0.6654172063321043
1949-02	-0.42486805389142585	1.075739946796417	0.792067196782949	0.494857716440763	0.7081580777832822
1949-03	-0.6212675369584316	1.2867072602535907	0.935804988013168	0.6373090797292389	0.8925397212561192
1949-04	-0.5487966504083983	1.194931801435435	0.7746587501387258	0.34477965908992864	0.7365043717452747
1949-05	-0.4740667618965048	1.2059833649721732	0.8753370563866641	0.6702536093387408	0.6338771445374249
1949-06	-0.4945400352062027	1.1283579048048844	0.8693741889957052	0.5706565555797632	0.8490421355682881
1949-07	-0.46878168198841275	1.0979397446290304	0.82371064025482	0.5030494620937884	0.7832302422370194
1949-08	-0.42717536315624327	1.1389331309141257	0.664184559586606	0.3820352444237677	0.5108418951025714
1949-09	-0.4589464116496422	1.1171616154752906	0.7891882814731649	0.6229904564003973	0.6659123720053217
1949-10	-0.46827321238102976	1.118145132365132	0.7955183730079157	0.49621672267831196	0.7591050047905281
1949-11	-0.45890670762298935	0.9925454153732054	0.8257430230863164	0.48439027899601544	0.7329659985940047
1949-12	-0.43865019942237343	0.9621490169880997	0.8403821807276591	0.5429773077991661	0.7344227847425924
1950-01	-0.44535453449278173	1.2111402897670185	0.7923240745442551	0.5821766300602231	0.6524525776746907
1950-02	-0.5488595885093085	1.205439522807804	0.8702121948557344	0.37795927358177367	0.8191748016904464
1950-03	-0.6080685103547686	1.2314003683878447	0.9790015112126743	0.6087057854802284	0.9333291694182189
1950-04	-0.6479949377739265	1.3016748455536178	0.9425049384672832	0.5742430494516978	0.7853081171990943
1950-05	-0.4654373252375593	1.107785499611474	0.8326425916861152	0.54360619860823	0.7814257855041778
1950-06	-0.465551424548078	1.0918650451984715	0.8174791406488113	0.45003695514896896	0.8217191166541592
1950-07	-0.502741635620641	1.0887537046935771	0.8421646047696721	0.5187869801772005	0.7741912281457269
1950-09	-0.46528471934698373	1.0715097287337538	0.804795513055949	0.548125519187256	0.76754242104185
1950-10	-0.46018103243768355	1.1205016932298948	0.7674312243777947	0.4669143064351994	0.6552948112578371
1950-11	-0.4830321554938545	1.0227848664922892	0.8904106628542766	0.5440936660131023	0.814035374499767
