date	mi_mu	mi_sigma	r_mu	r_sigma	m	mi_mu_afa	mi_sigma_afa	r_mu_afa	r_sigma_afa	m_afa
1945-11-01	-0.00025799578739323667	0.0326725538894797	0.00034597007428026214	0.0004529908750114873	0.0003242213032717573	-8.48730282294595e-05	0.021141688218536913	0.00016954371919400716	0.0002084809460004082	0.00016715576039150486
1945-12-01	-3.246027296578357e-05	0.01575282668238052	9.042814759816569e-05	9.289000394555345e-05	9.604898217903655e-05	-7.060207662533468e-05	0.02047766833259912	0.0001597464025999597	0.00019556450081188397	0.0001580351464891206
1946-01-01	-2.3244626360987253e-05	0.014704471263097546	8.155141259054814e-05	9.84432991017192e-05	8.966842044398683e-05	-5.6331125021209876e-05	0.01981364844666133	0.00014994908600591227	0.00018264805562335983	0.0001489145325867364
1946-02-01	-5.3004137796174844e-05	0.017861807129372523	0.0001139134609629715	0.00012946233181369355	0.00011810903202956152	-4.206017341708508e-05	0.019149628560723535	0.00014015176941186485	0.0001697316104348357	0.00013979391868435218
1946-03-01	8.829788117374096e-05	0.02011078814577505	0.000139410079773911	0.00015514447055007502	0.00013874237309413398	-2.7789221812960256e-05	0.018485608674785742	0.0001303544528178174	0.00015681516524631152	0.00013067330478196796
1946-04-01	8.12640566685626e-05	0.016550408673723527	9.749605492628255e-05	0.00011234364120681791	0.00010074325622111002	-1.351827020883546e-05	0.017821588788847948	0.00012055713622377	0.00014389872005778735	0.00012155269087958376
1946-05-01	2.682806968936572e-06	0.014826865745610639	8.143178303932931e-05	0.00011023995425555744	8.765511949028968e-05	7.526813952893567e-07	0.017157568902910158	0.00011075981962972256	0.00013098227486926317	0.00011243207697719953
1946-09-01	3.338998125730106e-05	0.015406810667447915	8.177469301615761e-05	8.314151199292846e-05	8.151707284560513e-05	1.6881751462467525e-05	0.016078105234917674	9.575678548467703e-05	0.00011259630085933418	9.84134374362685e-05
1946-10-01	1.9273221929431626e-05	0.014099258671519564	7.120962086486596e-05	8.732537924635354e-05	7.401367792691385e-05	2.9727635286685672e-05	0.015350295546687136	8.54534023123593e-05	9.927877356927261e-05	8.868998530857776e-05
1946-11-01	8.4027046468924e-06	0.014301788612485503	7.469835703583927e-05	8.826368563523174e-05	7.944658897558839e-05	3.9290332867943805e-05	0.014974139838218551	7.984967011276943e-05	9.102969299907849e-05	8.326172059412728e-05
1946-12-01	-1.892950575174766e-06	0.013772946979371087	6.808096366797085e-05	7.219284879397828e-05	7.123662493537934e-05	4.556984420624191e-05	0.014949638109511911	7.894558888590741e-05	8.784905914875178e-05	8.212864329291711e-05
1947-02-01	6.709861732171527e-05	0.016406568516954795	9.497909382484557e-05	9.694913340917728e-05	9.726821054329382e-05	4.8566169301579994e-05	0.015276790360567219	8.274115863177323e-05	8.973687201829252e-05	8.529075340494723e-05
1947-03-01	7.797336326353821e-05	0.01658130076061367	9.893391360524374e-05	0.0001233824383378481	0.00010294633874693724	4.8279308153958056e-05	0.015955596591384475	9.123637935036688e-05	9.66931316077007e-05	9.27480509302176e-05
1947-04-01	7.686689612595219e-05	0.015350221921170021	8.34215167160096e-05	8.616719448689678e-05	8.55166295176861e-05	5.722703739583453e-05	0.01622804859810959	9.401841815286335e-05	9.688283041759179e-05	9.502421278599093e-05
1947-05-01	0.00012115622510992245	0.013813615804048275	6.571052181190145e-05	5.340220553354175e-05	6.56164070707972e-05	6.265925093837441e-05	0.016504858070499662	9.691807901064529e-05	9.804531691744444e-05	9.747047464720083e-05
1947-06-01	9.529796564935034e-05	0.014068571160019576	6.916612107529066e-05	6.726582317562769e-05	6.976304804277294e-05	6.457594878157769e-05	0.016786025008554688	9.99353619237127e-05	0.0001001805911072586	0.00010008683651384736
1947-07-01	0.00012023702684197517	0.017983819042768877	0.0001124501285881854	0.00012359818212387546	0.00011244965517124826	6.29771309254444e-05	0.01707154941227467	0.00010307026689206558	0.00010328865298703431	0.00010287329838593054
1947-08-01	-2.44617337930034e-05	0.021582805496849773	0.00015700219773590388	0.00013050235190846876	0.0001527363238169912	5.78627973699745e-05	0.017361431281659612	0.00010632279391570397	0.00010736950255677153	0.00010582986026345028
1947-09-01	3.1606881254617655e-05	0.01922818230913845	0.00012721402057322631	0.00013458000200062355	0.0001255589650093258	4.9232948115168026e-05	0.017655670616709505	0.00010969294299462781	0.00011242313981647031	0.0001089565221464067
1947-10-01	-5.0304973487302323e-05	0.016715007787879592	9.483427231006819e-05	9.29325841809995e-05	9.295952392502789e-05	3.9262770111454314e-05	0.0180828431513729	0.00011440081980665774	0.00011762190940745656	0.00011312976423535415
1947-11-01	1.585833326259025e-05	0.017539746684827003	0.00010595967666763677	0.00010569707364318594	0.00010494995105614996	3.2957344608500084e-05	0.01843914222042167	0.00011853822787945858	0.0001226057352974298	0.00011691028247734505
1947-12-01	6.818673530446021e-05	0.015705675469317226	8.398050402641481e-05	7.551680008629921e-05	8.224299706344288e-05	3.0316671606305348e-05	0.018724567823855814	0.00012210516721303035	0.00012737461748639	0.00012029807687237933
1948-01-01	2.693721956143862e-05	0.01890475144029275	0.00012319331786883058	0.0001333801131551226	0.0001217874754726992	3.1340751104870095e-05	0.01893911996167533	0.00012510163780737307	0.00013192855597433725	0.00012329314742045704
1948-02-01	5.383938667243797e-05	0.022050489757863764	0.00016624739313270392	0.00016289730450244836	0.00016343637017499372	3.602958310419434e-05	0.019082798633880224	0.0001275276396624867	0.00013626755076127152	0.00012589549412157815
