date	mi_mu	mi_sigma	r_mu	r_sigma	m
1945-11	0.09145218224188069	0.7053862424082157	0.31990045208034595	0.46114729322493353	0.7177625493768063
1945-12	-0.47716881211035095	1.0342453527788513	1.3112327816822686	0.4330059849076436	1.4764185344492604
1946-01	-0.4252071587974697	0.8827152397399728	1.2122955003421183	0.4352160154993125	1.3778127734841643
1946-02	-0.4084524951189791	1.0631379531763423	1.2534566778815501	0.49530490065311567	1.4208096671884087
1946-03	-0.15229870753324318	0.9800608439251672	0.9251097467732017	0.5720705366593544	1.2093708537634764
1946-04	0.044842130333546476	0.9462365649488051	0.8545127357246358	0.4632424281399027	1.0557664614983713
1946-05	-0.2096066120212253	0.8675376844013531	0.9967870412208704	0.4259934459967389	1.0860901154241842
1946-09	-0.16089882586523313	1.1004976215372195	0.9833442555677718	0.6217033610642995	1.2894954755111692
1946-10	-0.1501309929640037	0.9809059394849979	1.0036943431903063	0.47353784105618435	1.2243794382230366
1946-11	-0.6656750960713052	1.0071105340367985	1.5578201606884072	0.4672580446833054	1.6607908459660394
1946-12	-0.5851150947290459	0.9384189003808081	1.4600523405564276	0.38919486741761183	1.5347751671974457
1947-02	-0.3359854370108113	1.0440975732972728	1.1905215456825586	0.4700564562163063	1.4598008353723395
1947-03	-0.317009801838503	0.99005588967381	1.2329698801523414	0.44049538486624085	1.4306056729320715
1947-04	-0.2628629335136103	1.0842867890167676	1.2467382744504052	0.5024768249259769	1.419147638052943
1947-05	-0.07243434806154575	1.0273956430472313	1.135235350570358	0.4866546300451771	0.9983812695315449
1947-06	-0.38203594124937473	0.9768783321408805	1.2082165759732226	0.4248466230339458	1.2902384744783608
1947-07	-0.43950144647267997	0.9963103157286032	1.3643904769893105	0.4062281830258377	1.4680005557868807
1947-08	-0.11693353356542184	1.2907843547023146	0.9676963260988103	0.7575469629601951	1.3348951275071914
1947-09	-0.25533198261442	1.1276300906223302	1.231839608171377	0.4797066409569462	1.3979062138030804
1947-10	0.7900555674759915	1.099534207911909	0.7219528146585744	0.5238426864386175	0.7189009401990225
1947-11	-0.6458723553425644	1.090566071254506	1.4855621551975247	0.4070553712808332	1.575474847396486
1947-12	-0.51059266727685	1.04489345435724	1.3685638684254138	0.4222635226285708	1.5060861541110284
1948-01	-0.30923780081158586	1.085532611456096	1.3014267163077278	0.42365203662125067	1.4125872668624262
1948-02	-0.47134655434754685	1.1588649737713357	1.3270366300863154	0.4086885766365208	1.516790833644143
1948-03	-0.3795772800277839	1.228639317571891	1.2138962398623183	0.5181259769965978	1.3445526578933416
1948-04	-0.0166487416887009	1.0858160746774315	1.0624616499488624	0.584947646302236	1.3013060965451893
1948-05	-0.07950902774645763	1.11934494392386	1.0234062690382144	0.5066652151711037	1.241546462465136
1948-06	-0.32034514350635873	1.149520487966826	1.2603541246141738	0.486762178570203	1.472854058785235
1948-07	-0.42881066214740376	1.4588462819312755	1.3001315607349664	0.7997378498760276	1.3701573205468638
1948-09	-0.3630957921736064	1.2035538749523744	1.290781341165503	0.5349285959543768	1.4695994303009026
1948-10	0.20832280783535426	1.0144571305282364	0.8503776794349716	0.5526608083152003	0.9758766412368703
1948-11	-0.6164275450595081	1.0691867720712185	1.51006301069239	0.3310236910184689	1.5488723040773908
1948-12	-0.5418686892884336	1.094320893802839	1.427046707796913	0.4803496635187907	1.5916931509888692
1949-01	-0.5052042923101423	1.1108203406704977	1.288474638601536	0.38318657093756114	1.4147405177660943
1949-02	-0.3117944283574738	1.1763779885018835	1.2686817135261637	0.5737374575851232	1.3538439040380201
1949-03	-0.1332693445713761	1.2353446276804632	1.1196920090157534	0.563412491680925	1.3834653021584504
1949-04	-0.2589877965593932	1.2653587258498917	1.2373569056602052	0.6586529286010236	1.32387709195832
1949-05	0.01595940645934294	1.2527478478586733	1.2941281533389193	0.7355949997456145	0.9496566392321795
1949-06	-0.16444345273385869	1.0771174041509248	1.088579665460236	0.5202996221667969	1.2688420762991652
1949-07	-0.41916027467302636	1.2082981202128444	1.3289154466714412	0.5507813881115734	1.5727820971987791
1949-08	0.2810280786567836	1.1297609787955745	0.8533817785282691	0.6478364914256778	0.5405227790455686
1949-09	-0.27569974932972946	1.1660140349099817	1.2458258868731427	0.49933669072187664	1.2360773837623351
1949-10	-0.3267965440686078	1.1357213201301637	1.2333352798011492	0.5489353935388276	1.342304947459252
1949-11	-0.6148948045111802	1.0754142421454533	1.4972252191772013	0.3443973978592113	1.5711478203117113
1949-12	-0.5968670695200292	1.0739276940750708	1.5504897983103376	0.39346136647238866	1.588218539176152
1950-01	0.31554853530195864	1.1826886829990593	0.7757953149132593	0.6577663451177637	0.7396461313061912
1950-02	-0.4244722723301732	1.2621775644170725	1.4080668289389744	0.5438225081477542	1.5706307470648913
1950-03	-0.540195134550582	1.2302928165878044	1.4576541259535993	0.5527776783322503	1.588683745724142
1950-04	-0.30166217695119457	1.2628826639672532	1.2035754765669984	0.6457084317814012	1.2226900498056041
1950-05	-0.3806397047038449	1.1137966201436793	1.318490346109489	0.43997606112587456	1.4427185180843842
1950-06	-0.36361727080327405	1.12439969978164	1.228947563412697	0.5156765127668884	1.3670756501261043
1950-07	-0.5145861960740646	1.1395098064936273	1.3989162063961005	0.47105230804916726	1.5683592218091003
1950-09	-0.4217516315706832	1.1280724071362254	1.2660186963455946	0.4387454446459543	1.4791867210069354
1950-10	-0.14560636430628904	1.1592153957260238	1.1676977260074553	0.47807967661185286	1.1039923182149658
1950-11	-0.663159019151527	1.080472546483521	1.5715393570049743	0.37382299502594557	1.6337487931029469
