date	mi_mu	mi_sigma	r_mu	r_sigma	m	mi_mu_afa	mi_sigma_afa	r_mu_afa	r_sigma_afa	m_afa
1945-11-01	-0.00026391376407395797	0.031956512693592974	0.00033557498404710676	0.0004242658969158406	0.0003185843597780595	-5.8484272359541886e-05	0.021862935102548282	0.00017765512756322317	0.00022184188170843905	0.00017397378590356026
1945-12-01	-1.094572420585868e-05	0.016439788305035664	9.518763411171539e-05	0.00011107624827079279	9.721637410180257e-05	-3.4385729722105214e-05	0.021326664210927528	0.0001690613458676846	0.00021078786774425084	0.00016567918773353327
1946-01-01	4.758962644289565e-06	0.016213370778125128	9.387554773441366e-05	0.00011893388303761037	9.719028488737599e-05	-1.028718708466856e-05	0.020790393319306773	0.00016046756417214603	0.00019973385378006266	0.00015738458956350627
1946-02-01	2.697895134784059e-05	0.017272770697296644	0.00010232878568041026	0.00012530475208081147	0.00010154164825067492	1.3811355552768102e-05	0.02025412242768602	0.0001518737824766075	0.00018867983981587448	0.0001490899913934793
1946-03-01	0.0002633964612399596	0.025400398371648484	0.0002221322248231919	0.0002792280659289504	0.00022131434954665555	3.7909898190204774e-05	0.01971785153606526	0.00014328000078106897	0.00017762582585168627	0.00014079539322345232
1946-04-01	0.0001998425325526454	0.019515062503988902	0.0001290067669073704	0.00015324701061000446	0.00012624855224424158	6.200844082764143e-05	0.01918158064444451	0.00013468621908553044	0.00016657181188749808	0.00013250079505342533
1946-05-01	3.886900275299853e-05	0.01530763607051945	8.11301007946196e-05	0.00011079190309443494	8.130812407655215e-05	8.61069834650781e-05	0.01864530975282375	0.0001260924373899919	0.0001555177979233099	0.00012420619688339836
1946-09-01	0.00010245513479108095	0.015211874245545742	7.589646354026443e-05	8.60907987446356e-05	7.196495752126927e-05	0.0001099149369404993	0.01767780231649347	0.00011181806482548022	0.00013816772603323429	0.00011049574041464388
1946-10-01	9.083821753831179e-05	0.016918910700491858	9.843951302821733e-05	0.00012043290999459114	9.764075935976216e-05	0.00012877234350555227	0.01700999037066929	0.00010163932917113105	0.00012511013414470798	0.00010054354473014028
1946-11-01	0.00011032592302672806	0.015938712231354964	8.886770082881566e-05	0.00010781060491886217	8.996982329809075e-05	0.00014267920316023695	0.0166418739153512	9.555623042694436e-05	0.00011634502225773098	9.434960982988754e-05
1946-12-01	6.289531579918196e-05	0.013597429171690316	6.378010717734784e-05	7.472577249463441e-05	6.384009781130261e-05	0.00015163551590455335	0.016573452950539202	9.356876859292023e-05	0.00011187239037230325	9.191393571388567e-05
1947-02-01	0.00025569751774771296	0.01963054526843258	0.00013131059438522327	0.0001557336727125654	0.00012944921115908494	0.0001556412817385015	0.016804727476233305	9.567694366905861e-05	0.00011169223848842481	9.32365223821347e-05
1947-03-01	0.00023819225388508242	0.01898601574898609	0.0001216712630111984	0.00015408985419929482	0.00011841201744930669	0.00015469650066208136	0.017335697492433497	0.00010188075565535951	0.00011580456660609566	9.831736983463458e-05
1947-04-01	0.00021293863575893242	0.017188289212214308	9.883109649037742e-05	0.00011607158055885229	9.54692780099956e-05	0.00017259177014522566	0.01767983108338061	0.00010512728514918887	0.00011676050379495786	0.00010090906769996493
1947-05-01	0.00021860192871933602	0.016085364997629123	8.395739203252841e-05	8.295186494491884e-05	7.877934501515329e-05	0.00018381353367183625	0.017995770727520753	0.0001082577643641692	0.00011845567127122608	0.00010344059996097257
1947-06-01	0.0001981855567626921	0.016748406183534358	9.193556525395524e-05	9.971360517954733e-05	8.687089613167406e-05	0.00018836179124191314	0.01828351642485391	0.00011127219330030048	0.00012089006903490037	0.00010591196661765748
1947-07-01	0.00028322800961821454	0.02040236555004243	0.00013553493490288813	0.0001495072028505413	0.00012708563465512867	0.00018623654285545638	0.01854306817538009	0.00011417057195758272	0.00012406369708598073	0.00010832316767001967
1947-08-01	6.632864919395195e-05	0.02105000178536932	0.00014561849820528137	0.00012696489041745442	0.00013832820779667836	0.0001774377885124659	0.018774425979099292	0.00011695290033601593	0.0001279765554244671	0.00011067420311805916
1947-09-01	0.00013249836301283362	0.018298516235824912	0.00010747659386895656	0.0001205747057689111	9.90074555662509e-05	0.00016196552821294175	0.01897758983601151	0.00011961917843560013	0.00013262864405035954	0.0001129650729617759
1947-10-01	0.00014576648755293192	0.020417127184736938	0.00014380201994022273	0.00016413116577119392	0.00014389549392126161	0.00014548901906618372	0.01904338639943911	0.00011915042020123242	0.00013147565001414666	0.00011168475200913663
1947-11-01	0.00010541394647151915	0.017883584292843865	0.00010379266173547749	0.00011190181800298074	9.695880890085814e-05	0.00013533877794137482	0.01925221239322408	0.0001214509383521205	0.00013458248519335528	0.00011346948903131617
1947-12-01	0.000145667710009757	0.016002815050465385	8.165710046234175e-05	8.379498744240634e-05	7.498201707921735e-05	0.000131514804838515	0.019604067817366427	0.00012652073288826437	0.00014194914958798544	0.00011831928402831449
1948-01-01	8.571561417812173e-05	0.017924118315742345	0.00010348013046007225	0.00011486784615155958	9.569638278617923e-05	0.00013401709975760433	0.02009895267186616	0.00013435980380966403	0.0001535756431980371	0.00012623413700013164
1948-02-01	0.0001397505864809882	0.023284101483051784	0.0001727378219042366	0.0001991003811984409	0.0001583160196493931	0.0001428456626986428	0.02073686695672327	0.0001449681511163195	0.00016946196602351033	0.00013721404794676755
1948-03-01	0.00013326412512388135	0.022437961827708762	0.00016455424139526516	0.00020050247016857248	0.00015474439154198954	0.0001580004936616303	0.021517810671937757	0.00015834577480823076	0.00018960811806440506	0.00015125901686822228
